"","sample","log_conc_truesoil","acronym"
"633",320,8.52195194304536,"Arch_16S"
"634",654,8.19900654442041,"Arch_16S"
"635",235,8.60940958901907,"Arch_16S"
"636",506,7.68669843503944,"Arch_16S"
"637",738,7.91263319461681,"Arch_16S"
"638",609,8.25214084304536,"Arch_16S"
"639",616,8.38853246994969,"Arch_16S"
"640",554,7.96680092926312,"Arch_16S"
"641",445,7.46728828622466,"Arch_16S"
"642",329,8.72038919037513,"Arch_16S"
"643",336,8.17325868622466,"Arch_16S"
"644",615,8.12344144442041,"Arch_16S"
"645",346,8.66082700334289,"Arch_16S"
"646",333,8.55597438901907,"Arch_16S"
"647",231,8.73307994442041,"Arch_16S"
"648",504,7.83382018238376,"Arch_16S"
"649",623,8.08870504304536,"Arch_16S"
"650",444,7.39038844304536,"Arch_16S"
"651",502,7.41322303516307,"Arch_16S"
"652",354,8.63575154442041,"Arch_16S"
"653",414,7.99643754442041,"Arch_16S"
"654",702,8.03746208099844,"Arch_16S"
"655",727,8.11284645080278,"Arch_16S"
"656",345,8.69147078901907,"Arch_16S"
"657",313,8.07883428901907,"Arch_16S"
"658",624,8.03421562351381,"Arch_16S"
"659",710,8.58327890619989,"Arch_16S"
"660",602,7.81382492351381,"Arch_16S"
"661",748,8.256875447966,"Arch_16S"
"662",737,7.76655294307793,"Arch_16S"
"663",606,7.90305074442041,"Arch_16S"
"664",603,7.87333514442041,"Arch_16S"
"665",407,8.59121266994969,"Arch_16S"
"666",755,8.46954991877181,"Arch_16S"
"667",338,8.40798856831843,"Arch_16S"
"668",454,7.85847734442041,"Arch_16S"
"669",256,8.45057396262441,"Arch_16S"
"670",447,7.38302774442041,"Arch_16S"
